Vgs,Ids
-5,1.27806E-11
-4.95,1.63126E-11
-4.9,1.66972E-11
-4.85,1.99456E-11
-4.8,2.14252E-11
-4.75,2.54424E-11
-4.7,2.60422E-11
-4.65,3.07234E-11
-4.6,3.41618E-11
-4.55,3.23278E-11
-4.5,3.37056E-11
-4.45,3.94332E-11
-4.4,4.43288E-11
-4.35,5.09372E-11
-4.3,5.70258E-11
-4.25,6.56814E-11
-4.2,6.85522E-11
-4.15,7.55356E-11
-4.1,8.56784E-11
-4.05,1.026256E-10
-4,1.2547E-10
-3.95,1.3186E-10
-3.9,1.4824E-10
-3.85,1.9565E-10
-3.8,2.6302E-10
-3.75,3.4594E-10
-3.7,4.1153E-10
-3.65,4.5769E-10
-3.6,5.1834E-10
-3.55,7.1185E-10
-3.5,8.758E-10
-3.45,9.7856E-10
-3.4,9.568E-10
-3.35,1.0953E-09
-3.3,1.2882E-09
-3.25,1.6442E-09
-3.2,1.8397E-09
-3.15,2.1578E-09
-3.1,2.4332E-09
-3.05,2.7388E-09
-3,3.4133E-09
-2.95,3.6266E-09
-2.9,4.0988E-09
-2.85,4.9889E-09
-2.8,6.1821E-09
-2.75,6.4954E-09
-2.7,7.9875E-09
-2.65,9.119E-09
-2.6,9.9936E-09
-2.55,1.11825E-08
-2.5,1.1735E-08
-2.45,1.33972E-08
-2.4,1.37108E-08
-2.35,1.54798E-08
-2.3,1.73542E-08
-2.25,1.94318E-08
-2.2,2.1249E-08
-2.15,2.22976E-08
-2.1,2.26214E-08
-2.05,2.51118E-08
-2,2.77092E-08
-1.95,2.98242E-08
-1.9,3.1806E-08
-1.85,3.29604E-08
-1.8,3.56844E-08
-1.75,3.7298E-08
-1.7,3.97776E-08
-1.65,4.26022E-08
-1.6,4.4523E-08
-1.55,4.76632E-08
-1.5,5.03738E-08
-1.45,5.33536E-08
-1.4,5.45832E-08
-1.35,5.74608E-08
-1.3,5.97186E-08
-1.25,6.20248E-08
-1.2,6.4258E-08
-1.15,6.78304E-08
-1.1,6.9526E-08
-1.05,7.21022E-08
-1,7.51686E-08
-0.95,7.84844E-08
-0.9,8.1086E-08
-0.85,8.39666E-08
