,80K_0303d69_(1)_10mV-on,80K_0303d69_(1)_10mV-off,80K_0303d69_(1)_30mV-on,80K_0303d69_(1)_30mV-off,80K_0303d69_(2)_10mV-on,80K_0303d69_(2)_10mV-off,80K_0303d69_(2)_30mV-on,80K_0303d69_(2)_30mV-off,80K_0312a25_(1)_10mV-on,80K_0312a25_(1)_10mV-off,80K_0312a25_(1)_30mV-on,80K_0312a25_(1)_30mV-off,80K_0312a25_(2)_10mV-on,80K_0312a25_(2)_10mV-off,80K_0312a25_(2)_30mV-on,80K_0312a25_(2)_30mV-off,80K_0407c56_(1)_10mV-on,80K_0407c56_(1)_10mV-off,80K_0407c56_(1)_30mV-on,80K_0407c56_(1)_30mV-off,80K_0407c56_(2)_10mV-on,80K_0407c56_(2)_10mV-off,80K_0407c56_(2)_30mV-on,80K_0407c56_(2)_30mV-off,80K_0413d56_(1)_10mV-on,80K_0413d56_(1)_10mV-off,80K_0413d56_(1)_30mV-on,80K_0413d56_(1)_30mV-off,80K_0413d56_(2)_10mV-on,80K_0413d56_(2)_10mV-off,80K_0413d56_(2)_30mV-on,80K_0413d56_(2)_30mV-off,80K_0609d23_(1)_10mV-on,80K_0609d23_(1)_10mV-off,80K_0609d23_(1)_30mV-on,80K_0609d23_(1)_30mV-off,80K_0609d23_(2)_10mV-on,80K_0609d23_(2)_10mV-off,80K_0609d23_(2)_30mV-on,80K_0609d23_(2)_30mV-off,80K_0716b12_(1)_10mV-on,80K_0716b12_(1)_10mV-off,80K_0716b12_(1)_30mV-on,80K_0716b12_(1)_30mV-off,80K_0716b12_(2)_10mV-on,80K_0716b12_(2)_10mV-off,80K_0716b12_(2)_30mV-on,80K_0716b12_(2)_30mV-off,80K_0806a12_(1)_10mV-on,80K_0806a12_(1)_10mV-off,80K_0806a12_(1)_30mV-on,80K_0806a12_(1)_30mV-off,80K_0806a12_(2)_10mV-on,80K_0806a12_(2)_10mV-off,80K_0806a12_(2)_30mV-on,80K_0806a12_(2)_30mV-off,80K_0905d23_(1)_10mV-on,80K_0905d23_(1)_10mV-off,80K_0905d23_(1)_30mV-on,80K_0905d23_(1)_30mV-off,80K_0905d23_(2)_10mV-on,80K_0905d23_(2)_10mV-off,80K_0905d23_(2)_30mV-on,80K_0905d23_(2)_30mV-off,100K_0303d69_(1)_10mV-on,100K_0303d69_(1)_10mV-off,100K_0303d69_(1)_30mV-on,100K_0303d69_(1)_30mV-off,100K_0303d69_(2)_10mV-on,100K_0303d69_(2)_10mV-off,100K_0303d69_(2)_30mV-on,100K_0303d69_(2)_30mV-off,100K_0312a25_(1)_10mV-on,100K_0312a25_(1)_10mV-off,100K_0312a25_(1)_30mV-on,100K_0312a25_(1)_30mV-off,100K_0312a25_(2)_10mV-on,100K_0312a25_(2)_10mV-off,100K_0312a25_(2)_30mV-on,100K_0312a25_(2)_30mV-off,100K_0407c56_(1)_10mV-on,100K_0407c56_(1)_10mV-off,100K_0407c56_(1)_30mV-on,100K_0407c56_(1)_30mV-off,100K_0407c56_(2)_10mV-on,100K_0407c56_(2)_10mV-off,100K_0407c56_(2)_30mV-on,100K_0407c56_(2)_30mV-off,100K_0413d56_(1)_10mV-on,100K_0413d56_(1)_10mV-off,100K_0413d56_(1)_30mV-on,100K_0413d56_(1)_30mV-off,100K_0413d56_(2)_10mV-on,100K_0413d56_(2)_10mV-off,100K_0413d56_(2)_30mV-on,100K_0413d56_(2)_30mV-off,100K_0609d23_(1)_10mV-on,100K_0609d23_(1)_10mV-off,100K_0609d23_(1)_30mV-on,100K_0609d23_(1)_30mV-off,100K_0609d23_(2)_10mV-on,100K_0609d23_(2)_10mV-off,100K_0609d23_(2)_30mV-on,100K_0609d23_(2)_30mV-off,100K_0716b12_(1)_10mV-on,100K_0716b12_(1)_10mV-off,100K_0716b12_(1)_30mV-on,100K_0716b12_(1)_30mV-off,100K_0716b12_(2)_10mV-on,100K_0716b12_(2)_10mV-off,100K_0716b12_(2)_30mV-on,100K_0716b12_(2)_30mV-off,100K_0806a12_(1)_10mV-on,100K_0806a12_(1)_10mV-off,100K_0806a12_(1)_30mV-on,100K_0806a12_(1)_30mV-off,100K_0806a12_(2)_10mV-on,100K_0806a12_(2)_10mV-off,100K_0806a12_(2)_30mV-on,100K_0806a12_(2)_30mV-off,100K_0905d23_(1)_10mV-on,100K_0905d23_(1)_10mV-off,100K_0905d23_(1)_30mV-on,100K_0905d23_(1)_30mV-off,100K_0905d23_(2)_10mV-on,100K_0905d23_(2)_10mV-off,100K_0905d23_(2)_30mV-on,100K_0905d23_(2)_30mV-off,150K_0303d69_(1)_10mV-on,150K_0303d69_(1)_10mV-off,150K_0303d69_(1)_30mV-on,150K_0303d69_(1)_30mV-off,150K_0303d69_(2)_10mV-on,150K_0303d69_(2)_10mV-off,150K_0303d69_(2)_30mV-on,150K_0303d69_(2)_30mV-off,150K_0312a25_(1)_10mV-on,150K_0312a25_(1)_10mV-off,150K_0312a25_(1)_30mV-on,150K_0312a25_(1)_30mV-off,150K_0312a25_(2)_10mV-on,150K_0312a25_(2)_10mV-off,150K_0312a25_(2)_30mV-on,150K_0312a25_(2)_30mV-off,150K_0407c56_(1)_10mV-on,150K_0407c56_(1)_10mV-off,150K_0407c56_(1)_30mV-on,150K_0407c56_(1)_30mV-off,150K_0407c56_(2)_10mV-on,150K_0407c56_(2)_10mV-off,150K_0407c56_(2)_30mV-on,150K_0407c56_(2)_30mV-off,150K_0413d56_(1)_10mV-on,150K_0413d56_(1)_10mV-off,150K_0413d56_(1)_30mV-on,150K_0413d56_(1)_30mV-off,150K_0413d56_(2)_10mV-on,150K_0413d56_(2)_10mV-off,150K_0413d56_(2)_30mV-on,150K_0413d56_(2)_30mV-off,150K_0716b12_(1)_10mV-on,150K_0716b12_(1)_10mV-off,150K_0716b12_(1)_30mV-on,150K_0716b12_(1)_30mV-off,150K_0716b12_(2)_10mV-on,150K_0716b12_(2)_10mV-off,150K_0716b12_(2)_30mV-on,150K_0716b12_(2)_30mV-off,150K_0806a12_(1)_10mV-on,150K_0806a12_(1)_10mV-off,150K_0806a12_(1)_30mV-on,150K_0806a12_(1)_30mV-off,150K_0806a12_(2)_10mV-on,150K_0806a12_(2)_10mV-off,150K_0806a12_(2)_30mV-on,150K_0806a12_(2)_30mV-off,150K_0905d23_(1)_10mV-on,150K_0905d23_(1)_10mV-off,150K_0905d23_(1)_30mV-on,150K_0905d23_(1)_30mV-off,150K_0905d23_(2)_10mV-on,150K_0905d23_(2)_10mV-off,150K_0905d23_(2)_30mV-on,150K_0905d23_(2)_30mV-off,200K_0303d69_(1)_10mV-on,200K_0303d69_(1)_10mV-off,200K_0303d69_(1)_30mV-on,200K_0303d69_(1)_30mV-off,200K_0303d69_(2)_10mV-on,200K_0303d69_(2)_10mV-off,200K_0303d69_(2)_30mV-on,200K_0303d69_(2)_30mV-off,200K_0312a25_(1)_10mV-on,200K_0312a25_(1)_10mV-off,200K_0312a25_(1)_30mV-on,200K_0312a25_(1)_30mV-off,200K_0312a25_(2)_10mV-on,200K_0312a25_(2)_10mV-off,200K_0312a25_(2)_30mV-on,200K_0312a25_(2)_30mV-off,200K_0407c56_(1)_10mV-on,200K_0407c56_(1)_10mV-off,200K_0407c56_(1)_30mV-on,200K_0407c56_(1)_30mV-off,200K_0407c56_(2)_10mV-on,200K_0407c56_(2)_10mV-off,200K_0407c56_(2)_30mV-on,200K_0407c56_(2)_30mV-off,200K_0413d56_(1)_10mV-on,200K_0413d56_(1)_10mV-off,200K_0413d56_(1)_30mV-on,200K_0413d56_(1)_30mV-off,200K_0609d23_(1)_10mV-on,200K_0609d23_(1)_10mV-off,200K_0609d23_(1)_30mV-on,200K_0609d23_(1)_30mV-off,200K_0609d23_(2)_10mV-on,200K_0609d23_(2)_10mV-off,200K_0609d23_(2)_30mV-on,200K_0609d23_(2)_30mV-off,200K_0716b12_(1)_10mV-on,200K_0716b12_(1)_10mV-off,200K_0716b12_(1)_30mV-on,200K_0716b12_(1)_30mV-off,200K_0716b12_(2)_10mV-on,200K_0716b12_(2)_10mV-off,200K_0716b12_(2)_30mV-on,200K_0716b12_(2)_30mV-off,200K_0806a12_(1)_10mV-on,200K_0806a12_(1)_10mV-off,200K_0806a12_(1)_30mV-on,200K_0806a12_(1)_30mV-off,200K_0806a12_(2)_10mV-on,200K_0806a12_(2)_10mV-off,200K_0806a12_(2)_30mV-on,200K_0806a12_(2)_30mV-off,200K_0905d23_(1)_10mV-on,200K_0905d23_(1)_10mV-off,200K_0905d23_(1)_30mV-on,200K_0905d23_(1)_30mV-off,200K_0905d23_(2)_10mV-on,200K_0905d23_(2)_10mV-off,200K_0905d23_(2)_30mV-on,200K_0905d23_(2)_30mV-off,250K_0303d69_(1)_10mV-on,250K_0303d69_(1)_10mV-off,250K_0303d69_(1)_30mV-on,250K_0303d69_(1)_30mV-off,250K_0303d69_(2)_10mV-on,250K_0303d69_(2)_10mV-off,250K_0303d69_(2)_30mV-on,250K_0303d69_(2)_30mV-off,250K_0312a25_(1)_10mV-on,250K_0312a25_(1)_10mV-off,250K_0312a25_(1)_30mV-on,250K_0312a25_(1)_30mV-off,250K_0312a25_(2)_10mV-on,250K_0312a25_(2)_10mV-off,250K_0312a25_(2)_30mV-on,250K_0312a25_(2)_30mV-off,250K_0407c56_(1)_10mV-on,250K_0407c56_(1)_10mV-off,250K_0407c56_(1)_30mV-on,250K_0407c56_(1)_30mV-off,250K_0407c56_(2)_10mV-on,250K_0407c56_(2)_10mV-off,250K_0407c56_(2)_30mV-on,250K_0407c56_(2)_30mV-off,250K_0413d56_(1)_10mV-on,250K_0413d56_(1)_10mV-off,250K_0413d56_(1)_30mV-on,250K_0413d56_(1)_30mV-off,250K_0413d56_(2)_10mV-on,250K_0413d56_(2)_10mV-off,250K_0413d56_(2)_30mV-on,250K_0413d56_(2)_30mV-off,250K_0609d23_(1)_10mV-on,250K_0609d23_(1)_10mV-off,250K_0609d23_(1)_30mV-on,250K_0609d23_(1)_30mV-off,250K_0609d23_(2)_10mV-on,250K_0609d23_(2)_10mV-off,250K_0609d23_(2)_30mV-on,250K_0609d23_(2)_30mV-off,250K_0806a12_(1)_10mV-on,250K_0806a12_(1)_10mV-off,250K_0806a12_(1)_30mV-on,250K_0806a12_(1)_30mV-off,250K_0806a12_(2)_10mV-on,250K_0806a12_(2)_10mV-off,250K_0806a12_(2)_30mV-on,250K_0806a12_(2)_30mV-off,250K_0905d23_(1)_10mV-on,250K_0905d23_(1)_10mV-off,250K_0905d23_(1)_30mV-on,250K_0905d23_(1)_30mV-off,250K_0905d23_(2)_10mV-on,250K_0905d23_(2)_10mV-off,250K_0905d23_(2)_30mV-on,250K_0905d23_(2)_30mV-off,300K_0303d69_(1)_10mV-on,300K_0303d69_(1)_10mV-off,300K_0303d69_(1)_30mV-on,300K_0303d69_(1)_30mV-off,300K_0303d69_(2)_10mV-on,300K_0303d69_(2)_10mV-off,300K_0303d69_(2)_30mV-on,300K_0303d69_(2)_30mV-off,300K_0312a25_(1)_10mV-on,300K_0312a25_(1)_10mV-off,300K_0312a25_(1)_30mV-on,300K_0312a25_(1)_30mV-off,300K_0312a25_(2)_10mV-on,300K_0312a25_(2)_10mV-off,300K_0312a25_(2)_30mV-on,300K_0312a25_(2)_30mV-off,300K_0407c56_(1)_10mV-on,300K_0407c56_(1)_10mV-off,300K_0407c56_(1)_30mV-on,300K_0407c56_(1)_30mV-off,300K_0407c56_(2)_10mV-on,300K_0407c56_(2)_10mV-off,300K_0407c56_(2)_30mV-on,300K_0407c56_(2)_30mV-off,300K_0413d56_(1)_10mV-on,300K_0413d56_(1)_10mV-off,300K_0413d56_(1)_30mV-on,300K_0413d56_(1)_30mV-off,300K_0413d56_(2)_10mV-on,300K_0413d56_(2)_10mV-off,300K_0413d56_(2)_30mV-on,300K_0413d56_(2)_30mV-off,300K_0609d23_(1)_10mV-on,300K_0609d23_(1)_10mV-off,300K_0609d23_(1)_30mV-on,300K_0609d23_(1)_30mV-off,300K_0609d23_(2)_10mV-on,300K_0609d23_(2)_10mV-off,300K_0609d23_(2)_30mV-on,300K_0609d23_(2)_30mV-off,300K_0905d23_(1)_10mV-on,300K_0905d23_(1)_10mV-off,300K_0905d23_(1)_30mV-on,300K_0905d23_(1)_30mV-off,300K_0905d23_(2)_10mV-on,300K_0905d23_(2)_10mV-off,300K_0905d23_(2)_30mV-on,300K_0905d23_(2)_30mV-off
off,9.8406e-12,7.5978e-12,2.29482e-11,2.17546e-11,9.77e-12,7.5622e-12,2.32376e-11,2.03584e-11,1.18966e-11,1.07832e-11,3.13028e-11,2.94722e-11,7.6712e-12,7.0408e-12,2.07526e-11,1.79972e-11,2.0941e-10,4.529e-10,1.139e-09,9.41e-10,2.5994e-10,4.1282e-10,1.2277e-09,9.479e-10,1.57e-12,1.48e-10,2.59e-11,1.71e-10,7.5672e-12,1.6287e-10,2.60276e-11,1.6871e-10,4.51942e-11,8.953e-11,1.92e-10,1.8802e-10,4.81504e-11,8.377e-11,2.369e-10,1.8853e-10,5.3498e-11,1.3441e-10,1.7502e-10,2.0233e-10,5.34996e-11,1.1758e-10,1.7682e-10,1.8758e-10,2.28364e-11,2.32338e-11,8.06272e-11,8.595e-11,1.27806e-11,1.78092e-11,5.28526e-11,6.516e-11,3.9875e-10,5.0816e-10,2.7919e-09,1.2904e-09,3.6181e-10,4.5503e-10,2.1483e-09,1.0752e-09,4.14854e-11,4.12852e-11,1.5068e-10,1.3275e-10,3.97744e-11,4.13586e-11,1.5245e-10,1.0498e-10,6.44382e-11,8.506e-11,2.7475e-10,1.9018e-10,5.87516e-11,8.087e-11,2.8345e-10,1.605e-10,7.4283e-10,8.0242e-10,5.883e-09,2.5814e-09,8.6334e-10,1.0242e-09,5.6935e-09,2.8545e-09,2.31092e-11,1.4587e-10,6.5655e-11,1.8128e-10,2.19526e-11,1.5904e-10,6.01996e-11,1.9407e-10,8.77726e-11,1.2897e-10,6.3959e-10,3.3273e-10,9.346e-11,1.2451e-10,5.4317e-10,2.9682e-10,6.4557e-11,1.4367e-10,2.5407e-10,2.6651e-10,6.79236e-11,1.6066e-10,2.3267e-10,2.7589e-10,6.4878e-11,1.105e-10,4.1397e-10,2.2718e-10,6.1124e-11,8.851e-11,3.6636e-10,2.0368e-10,3.9875e-10,5.0816e-10,2.7919e-09,1.2904e-09,3.6181e-10,4.5503e-10,2.1483e-09,1.0752e-09,6.75628e-11,7.94e-11,2.4841e-10,1.7129e-10,5.29968e-11,4.22678e-11,1.572e-10,1.3777e-10,6.62486e-11,9.051e-11,2.9719e-10,1.6436e-10,6.57944e-11,8.167e-11,2.2985e-10,1.9324e-10,7.7573e-10,9.396e-10,4.6969e-09,2.4438e-09,7.9069e-10,8.5703e-10,4.1929e-09,2.8045e-09,2.573e-11,1.6135e-10,5.8263e-11,1.953e-10,2.34996e-11,1.2821e-10,5.94104e-11,1.8871e-10,2.2685e-10,3.177e-10,1.8505e-09,1.0056e-09,2.1123e-10,2.8831e-10,1.2479e-09,8.0053e-10,8.86116e-11,1.2031e-10,5.3894e-10,2.8876e-10,1.021908e-10,1.1369e-10,6.6117e-10,2.8685e-10,2.9237e-10,3.9696e-10,1.6625e-09,7.9509e-10,3.06e-10,3.7493e-10,1.7544e-09,7.215e-10,2.81792e-11,3.62884e-11,1.2954e-10,9.778000000000001e-11,2.88612e-11,3.08208e-11,1.1783000000000002e-10,8.251000000000001e-11,3.654e-11,4.7555e-11,1.9181e-10,1.3346000000000002e-10,3.0141999999999997e-11,3.41122e-11,1.2993e-10,9.927000000000001e-11,3.6387e-10,6.0728e-10,2.1594e-09,1.6809e-09,4.913e-10,7.110200000000001e-10,4.0306e-09,2.0526e-09,3.3118e-11,1.7674e-10,1.0965e-10,2.1359e-10,1.1185e-10,1.7759e-10,1.0186e-09,4.6362e-10,1.3143e-10,1.8317e-10,9.6066e-10,4.5202e-10,1.4364e-10,2.3394e-10,1.5158e-09,7.0696e-10,1.6275e-10,2.5362e-10,1.2177e-09,6.1194e-10,8.279e-11,1.038e-10,5.9562e-10,2.4106e-10,9.746e-11,1.085e-10,6.0059e-10,2.5341e-10,1.5028e-10,3.8835e-10,1.185e-09,7.9762e-10,1.2137e-10,3.0487e-10,3.2861e-10,4.8746e-10,6.94918e-11,8.066000000000001e-11,5.417e-10,2.2877000000000003e-10,8.11208e-11,9.278e-11,4.6077000000000005e-10,2.119e-10,8.1152e-11,1.2776e-10,4.814200000000001e-10,3.3744000000000003e-10,1.0782000000000001e-10,1.1847e-10,4.3757e-10,2.6749e-10,1.5092e-09,1.4854e-09,7.4669e-09,6.2025e-09,1.831e-09,1.6199e-09,7.4626e-09,5.9053e-09,3.97908e-11,1.7361e-10,1.0274000000000001e-10,2.1522e-10,3.60608e-11,1.5404000000000002e-10,8.86852e-11,2.0047e-10,1.1449000000000001e-10,1.9118e-10,5.623300000000001e-10,4.4194000000000003e-10,1.1630000000000001e-10,1.8878000000000002e-10,4.3926000000000004e-10,3.3018000000000004e-10,9.24062e-11,9.740000000000001e-11,5.893200000000001e-10,2.7103000000000005e-10,1.11e-10,9.219000000000001e-11,5.6166e-10,2.6638e-10,2.8887e-10,4.962e-10,1.0345e-09,1.0747e-09,2.9823e-10,4.9518e-10,1.0033e-09,1.09e-09,1.0784000000000001e-10,1.449e-10,9.776e-10,4.3287000000000003e-10,1.3376e-10,1.5611000000000002e-10,1.2467e-09,5.1763e-10,1.2728e-10,2.3976e-10,1.5402e-09,7.005800000000001e-10,2.5530000000000004e-10,2.9149000000000004e-10,1.9352e-09,8.270500000000001e-10,2.695e-09,3.0162e-09,2.5287599999999996e-08,1.0495599999999998e-08,2.9009e-09,2.914e-09,3.10308e-08,1.1522799999999999e-08,1.0012000000000001e-10,1.9744000000000002e-10,4.1191000000000003e-10,4.2834000000000004e-10,1.1068000000000001e-10,2.129e-10,4.8622e-10,4.858800000000001e-10,2.2879000000000002e-10,2.9101e-10,2.37e-09,1.1311e-09,3.0433e-10,3.4824000000000003e-10,2.6098e-09,1.2816e-09,7.505300000000001e-10,7.6271e-10,6.1872e-09,2.9026e-09,6.4039e-10,6.756e-10,5.7201e-09,3.2524e-09
on,1.4884e-07,1.488e-07,4.462e-07,4.452e-07,1.5276e-07,1.5338e-07,4.5166e-07,4.5412e-07,1.149964e-07,1.149956e-07,3.4456e-07,3.4374e-07,1.14342e-07,1.144464e-07,3.5108e-07,3.5102e-07,8.7234e-07,8.7326e-07,2.5737e-06,2.572e-06,8.6992e-07,8.7096e-07,2.5851e-06,2.5922e-06,2.93e-07,2.92e-07,8.77e-07,8.77e-07,2.912e-07,2.9166e-07,8.7366e-07,8.7368e-07,3.1112e-07,3.106e-07,9.3848e-07,9.3426e-07,3.1606e-07,3.1586e-07,9.5084e-07,9.5102e-07,2.7312e-07,2.7088e-07,8.3672e-07,8.3658e-07,2.8166e-07,2.8154e-07,8.401e-07,8.4056e-07,3.0322e-07,3.0376e-07,9.1158e-07,9.0886e-07,3.0496e-07,3.0384e-07,9.2136e-07,9.1932e-07,2.6664e-07,2.6606e-07,8.0288e-07,8.014e-07,2.6612e-07,2.6564e-07,8.0876e-07,8.0792e-07,1.2246e-07,1.2212e-07,3.6658e-07,3.6638e-07,1.226e-07,1.2242e-07,3.6866e-07,3.683e-07,9.50728e-08,9.43766e-08,2.8874e-07,2.8882e-07,9.76622e-08,9.76298e-08,2.884e-07,2.8752e-07,7.7318e-07,7.7462e-07,2.3339e-06,2.3327e-06,7.7784e-07,7.7814e-07,2.3385e-06,2.3422e-06,2.5498e-07,2.5524e-07,7.7566e-07,7.7434e-07,2.5694e-07,2.5842e-07,7.803e-07,7.8072e-07,2.7176e-07,2.7004e-07,8.353e-07,8.3396e-07,2.7808e-07,2.7644e-07,8.4156e-07,8.372e-07,2.194e-07,2.1864e-07,6.7168e-07,6.7116e-07,2.2306e-07,2.2372e-07,6.7684e-07,6.7906e-07,2.5598e-07,2.5584e-07,7.7546e-07,7.7562e-07,2.5898e-07,2.5942e-07,7.8254e-07,7.8226e-07,2.6664e-07,2.6606e-07,8.0288e-07,8.014e-07,2.6612e-07,2.6564e-07,8.0876e-07,8.0792e-07,1.1852e-07,1.1862e-07,3.5634e-07,3.5652e-07,1.2242e-07,1.2228e-07,3.704e-07,3.6974e-07,9.31788e-08,9.19672e-08,2.8298e-07,2.8288e-07,9.50042e-08,9.50174e-08,2.8648e-07,2.8628e-07,7.6128e-07,7.6182e-07,2.2967e-06,2.2955e-06,7.7094e-07,7.7494e-07,2.3272e-06,2.3342e-06,2.4378e-07,2.4396e-07,7.4508e-07,7.4502e-07,2.4852e-07,2.4858e-07,7.5556e-07,7.5542e-07,1.9436e-07,1.9548e-07,6.073e-07,6.1026e-07,2.017e-07,2.0172e-07,6.1908e-07,6.1966e-07,2.5024e-07,2.5014e-07,7.5736e-07,7.5258e-07,2.5194e-07,2.5146e-07,7.7024e-07,7.7254e-07,2.6162e-07,2.5904e-07,7.9204e-07,7.898e-07,2.616e-07,2.6024e-07,7.823e-07,7.7194e-07,1.2183999999999998e-07,1.214e-07,3.6606e-07,3.654e-07,1.2282e-07,1.2246e-07,3.663e-07,3.6711999999999997e-07,9.625439999999999e-08,9.445219999999999e-08,2.9168e-07,2.9002e-07,9.67658e-08,9.51736e-08,2.9444e-07,2.9448e-07,7.62e-07,7.646e-07,2.2926000000000003e-06,2.3000000000000004e-06,7.7484e-07,7.7396e-07,2.3323e-06,2.3386000000000004e-06,2.4456e-07,2.4398e-07,7.3702e-07,7.3552e-07,2.6074e-07,2.5966e-07,7.947e-07,7.9488e-07,2.6756e-07,2.6896e-07,8.0898e-07,8.0984e-07,2.0196e-07,2.0098e-07,6.2048e-07,6.2184e-07,2.0516e-07,2.0326e-07,6.2582e-07,6.2524e-07,2.5422e-07,2.535e-07,7.616e-07,7.6008e-07,2.5526e-07,2.536e-07,7.6652e-07,7.7034e-07,2.948e-07,2.9634e-07,9.2258e-07,9.2204e-07,2.9898e-07,3e-07,9.0974e-07,9.0428e-07,1.1992e-07,1.197e-07,3.6494e-07,3.6543999999999997e-07,1.227e-07,1.227e-07,3.7002e-07,3.6924e-07,9.1293e-08,9.037179999999999e-08,2.8314e-07,2.8546e-07,9.442619999999999e-08,9.431739999999999e-08,2.8702e-07,2.87e-07,7.2526e-07,7.278999999999999e-07,2.2153e-06,2.2107000000000003e-06,7.3708e-07,7.3858e-07,2.2138000000000003e-06,2.2161000000000003e-06,2.3886e-07,2.3914e-07,7.2716e-07,7.261199999999999e-07,2.4566e-07,2.453e-07,7.371399999999999e-07,7.3496e-07,2.7229999999999997e-07,2.7292e-07,8.2534e-07,8.277999999999999e-07,2.7968e-07,2.789e-07,8.4728e-07,8.509599999999999e-07,2.6488e-07,2.6428e-07,8.0466e-07,7.9856e-07,2.6686e-07,2.6585999999999997e-07,8.0438e-07,8.0616e-07,2.8608e-07,2.8658e-07,8.632799999999999e-07,8.669e-07,2.8728e-07,2.8482e-07,8.684e-07,8.636e-07,1.2898e-07,1.288e-07,3.9324e-07,3.9186e-07,1.3146e-07,1.3144e-07,3.9478e-07,3.9278e-07,9.655759999999999e-08,9.616819999999999e-08,2.9842e-07,2.9958e-07,9.812459999999999e-08,9.93306e-08,3.0259999999999997e-07,3.0338e-07,7.8384e-07,7.8424e-07,2.3710000000000003e-06,2.3720000000000003e-06,7.906e-07,7.9228e-07,2.3871000000000004e-06,2.3836000000000004e-06,2.4444e-07,2.4494e-07,7.53e-07,7.5342e-07,2.5146e-07,2.5091999999999997e-07,7.759799999999999e-07,7.7956e-07,2.9171999999999997e-07,2.8918e-07,8.7866e-07,8.7882e-07,2.9118e-07,2.9087999999999997e-07,8.8976e-07,8.8864e-07,2.8922e-07,2.9042e-07,8.6178e-07,8.636e-07,2.9218e-07,2.9346e-07,8.8496e-07,8.867e-07
