Vgs,Ids
-5,5.69576E-11
-4.95,5.5568E-11
-4.9,5.3498E-11
-4.85,6.2147E-11
-4.8,7.16014E-11
-4.75,8.52308E-11
-4.7,8.78808E-11
-4.65,8.65124E-11
-4.6,9.2066E-11
-4.55,9.84054E-11
-4.5,1.1513E-10
-4.45,1.1344E-10
-4.4,1.2581E-10
-4.35,1.4275E-10
-4.3,1.631E-10
-4.25,1.4447E-10
-4.2,1.6717E-10
-4.15,2.1669E-10
-4.1,1.7296E-10
-4.05,2.2831E-10
-4,2.8941E-10
-3.95,3.6022E-10
-3.9,3.366E-10
-3.85,4.1771E-10
-3.8,4.408E-10
-3.75,5.3447E-10
-3.7,5.5225E-10
-3.65,6.8456E-10
-3.6,6.627E-10
-3.55,8.1249E-10
-3.5,9.1883E-10
-3.45,9.221E-10
-3.4,1.0725E-09
-3.35,1.2753E-09
-3.3,1.2398E-09
-3.25,1.3991E-09
-3.2,1.6381E-09
-3.15,2.2298E-09
-3.1,2.1258E-09
-3.05,2.9506E-09
-3,3.2856E-09
-2.95,3.4987E-09
-2.9,3.2591E-09
-2.85,4.2976E-09
-2.8,5.0006E-09
-2.75,5.7617E-09
-2.7,6.0153E-09
-2.65,6.7299E-09
-2.6,7.0139E-09
-2.55,8.2684E-09
-2.5,8.5689E-09
-2.45,8.0107E-09
-2.4,9.1335E-09
-2.35,9.5392E-09
-2.3,1.12764E-08
-2.25,1.19028E-08
-2.2,1.35988E-08
-2.15,1.42254E-08
-2.1,1.59136E-08
-2.05,1.75788E-08
-2,1.83362E-08
-1.95,1.9398E-08
-1.9,2.13666E-08
-1.85,2.3193E-08
-1.8,2.502E-08
-1.75,2.62862E-08
-1.7,2.95306E-08
-1.65,3.10678E-08
-1.6,3.41166E-08
-1.55,3.65124E-08
-1.5,3.86148E-08
-1.45,3.97038E-08
-1.4,4.28136E-08
-1.35,4.44566E-08
-1.3,4.733E-08
-1.25,5.04058E-08
-1.2,5.26694E-08
-1.15,5.43584E-08
-1.1,5.81638E-08
-1.05,6.031E-08
-1,6.3586E-08
-0.95,6.65092E-08
-0.9,6.83212E-08
-0.85,7.07962E-08
-0.8,7.22926E-08
-0.75,7.485E-08
-0.7,7.72078E-08
-0.65,7.90316E-08
-0.6,8.19228E-08
-0.55,8.31206E-08
-0.5,8.58012E-08
-0.45,8.85712E-08
-0.4,9.0232E-08
-0.35,9.1651E-08
-0.3,9.39466E-08
-0.25,9.6622E-08
-0.2,9.90104E-08
-0.15,1.023546E-07
-0.1,1.04479E-07
-0.05,1.079226E-07
0,1.109824E-07
0.05,1.139248E-07
0.1,1.1634E-07
0.15,1.197E-07
0.2,1.2202E-07
0.25,1.25E-07
0.3,1.2634E-07
0.35,1.2926E-07
0.4,1.3198E-07
0.45,1.3446E-07
0.5,1.367E-07
0.55,1.4112E-07
0.6,1.4218E-07
0.65,1.4448E-07
0.7,1.4718E-07
0.75,1.4978E-07
0.8,1.5036E-07
0.85,1.5204E-07
0.9,1.5508E-07
0.95,1.5626E-07
1,1.5898E-07
1.05,1.6082E-07
1.1,1.634E-07
1.15,1.66E-07
1.2,1.6568E-07
1.25,1.6818E-07
1.3,1.7136E-07
1.35,1.7336E-07
1.4,1.754E-07
1.45,1.7666E-07
1.5,1.7816E-07
1.55,1.8066E-07
1.6,1.8198E-07
1.65,1.8272E-07
1.7,1.846E-07
1.75,1.8818E-07
1.8,1.8968E-07
1.85,1.9088E-07
1.9,1.932E-07
1.95,1.9484E-07
2,1.9468E-07
2.05,1.979E-07
2.1,1.9844E-07
2.15,2.0132E-07
2.2,2.0272E-07
2.25,2.0316E-07
2.3,2.0478E-07
2.35,2.071E-07
2.4,2.0806E-07
2.45,2.1088E-07
2.5,2.1152E-07
2.55,2.1218E-07
2.6,2.1454E-07
2.65,2.1486E-07
2.7,2.167E-07
2.75,2.1938E-07
2.8,2.2066E-07
2.85,2.2108E-07
2.9,2.2344E-07
2.95,2.2576E-07
3,2.2586E-07
3.05,2.2698E-07
3.1,2.286E-07
3.15,2.3066E-07
3.2,2.3132E-07
3.25,2.3242E-07
3.3,2.344E-07
3.35,2.3354E-07
3.4,2.3554E-07
3.45,2.3788E-07
3.5,2.402E-07
3.55,2.4132E-07
3.6,2.4102E-07
3.65,2.4394E-07
3.7,2.4296E-07
3.75,2.4426E-07
3.8,2.462E-07
3.85,2.4714E-07
3.9,2.4798E-07
3.95,2.4836E-07
4,2.5134E-07
4.05,2.5064E-07
4.1,2.5158E-07
4.15,2.5378E-07
4.2,2.5354E-07
4.25,2.5528E-07
4.3,2.5728E-07
4.35,2.5742E-07
4.4,2.5918E-07
4.45,2.5962E-07
4.5,2.5964E-07
4.55,2.6228E-07
4.6,2.638E-07
4.65,2.6454E-07
4.7,2.6646E-07
4.75,2.6548E-07
4.8,2.676E-07
4.85,2.6906E-07
4.9,2.7136E-07
4.95,2.7312E-07
5,2.7142E-07
5,2.7088E-07
4.95,2.6956E-07
4.9,2.6938E-07
4.85,2.671E-07
4.8,2.6634E-07
4.75,2.6444E-07
4.7,2.626E-07
4.65,2.6094E-07
4.6,2.603E-07
4.55,2.5752E-07
4.5,2.5712E-07
4.45,2.5628E-07
4.4,2.5384E-07
4.35,2.5358E-07
4.3,2.5262E-07
4.25,2.5142E-07
4.2,2.4948E-07
4.15,2.487E-07
4.1,2.4774E-07
4.05,2.4672E-07
4,2.4452E-07
3.95,2.4124E-07
3.9,2.4086E-07
3.85,2.3954E-07
3.8,2.3726E-07
3.75,2.3702E-07
3.7,2.3628E-07
3.65,2.3304E-07
3.6,2.33E-07
3.55,2.311E-07
3.5,2.302E-07
3.45,2.2892E-07
3.4,2.2698E-07
3.35,2.25E-07
3.3,2.241E-07
3.25,2.2244E-07
3.2,2.2252E-07
3.15,2.201E-07
3.1,2.1954E-07
3.05,2.1792E-07
3,2.165E-07
2.95,2.1454E-07
2.9,2.1232E-07
2.85,2.1288E-07
2.8,2.103E-07
2.75,2.0868E-07
2.7,2.0792E-07
2.65,2.0686E-07
2.6,2.0442E-07
2.55,2.032E-07
2.5,2.025E-07
2.45,1.9998E-07
2.4,1.9934E-07
2.35,1.9778E-07
2.3,1.9542E-07
