Vgs,Ids
-5,3.97744E-11
-4.95,4.50676E-11
-4.9,4.72476E-11
-4.85,4.68498E-11
-4.8,5.17488E-11
-4.75,5.955E-11
-4.7,5.79422E-11
-4.65,5.73674E-11
-4.6,6.75474E-11
-4.55,7.56634E-11
-4.5,7.39288E-11
-4.45,8.24232E-11
-4.4,8.80796E-11
-4.35,9.48142E-11
-4.3,1.052066E-10
-4.25,1.13589E-10
-4.2,1.135692E-10
-4.15,1.3188E-10
-4.1,1.2236E-10
-4.05,1.4318E-10
-4,1.6239E-10
-3.95,1.8988E-10
-3.9,2.2043E-10
-3.85,2.3306E-10
-3.8,2.6969E-10
-3.75,3.243E-10
-3.7,3.5937E-10
-3.65,3.7784E-10
-3.6,4.3504E-10
-3.55,4.8777E-10
-3.5,5.3054E-10
-3.45,5.5976E-10
-3.4,6.5542E-10
-3.35,7.2185E-10
-3.3,8.1264E-10
-3.25,8.9753E-10
-3.2,8.2823E-10
-3.15,8.3442E-10
-3.1,9.9509E-10
-3.05,1.1099E-09
-3,1.1987E-09
-2.95,1.4588E-09
-2.9,1.4471E-09
-2.85,1.739E-09
-2.8,1.8985E-09
-2.75,2.2223E-09
-2.7,2.1832E-09
-2.65,2.7086E-09
-2.6,2.8351E-09
-2.55,2.8982E-09
-2.5,3.1358E-09
-2.45,3.7776E-09
-2.4,4.0797E-09
-2.35,4.3974E-09
-2.3,5.1953E-09
-2.25,5.7011E-09
-2.2,6.4261E-09
-2.15,6.8247E-09
-2.1,7.6753E-09
-2.05,7.9362E-09
-2,8.4197E-09
-1.95,9.1753E-09
-1.9,1.07386E-08
-1.85,1.11887E-08
-1.8,1.19308E-08
-1.75,1.3044E-08
-1.7,1.4435E-08
-1.65,1.4936E-08
-1.6,1.59496E-08
-1.55,1.6759E-08
-1.5,1.81832E-08
-1.45,1.87114E-08
-1.4,1.97642E-08
-1.35,2.0188E-08
-1.3,2.11938E-08
-1.25,2.23718E-08
-1.2,2.2172E-08
-1.15,2.36266E-08
-1.1,2.48892E-08
-1.05,2.57612E-08
-1,2.6814E-08
-0.95,2.76446E-08
-0.9,2.88258E-08
-0.85,2.94858E-08
-0.8,3.06406E-08
-0.75,3.17766E-08
-0.7,3.2588E-08
-0.65,3.35814E-08
-0.6,3.42862E-08
-0.55,3.5642E-08
-0.5,3.66306E-08
-0.45,3.78594E-08
-0.4,3.9324E-08
-0.35,3.97518E-08
-0.3,4.07554E-08
-0.25,4.16884E-08
-0.2,4.28054E-08
-0.15,4.37792E-08
-0.1,4.49122E-08
-0.05,4.59682E-08
0,4.70394E-08
0.05,4.8281E-08
0.1,4.9439E-08
0.15,5.07364E-08
0.2,5.14988E-08
0.25,5.25878E-08
0.3,5.34454E-08
0.35,5.45622E-08
0.4,5.5463E-08
0.45,5.6708E-08
0.5,5.76866E-08
0.55,5.90408E-08
0.6,5.94182E-08
0.65,6.06558E-08
0.7,6.16218E-08
0.75,6.2652E-08
0.8,6.34344E-08
0.85,6.4494E-08
0.9,6.5358E-08
0.95,6.6329E-08
1,6.68044E-08
1.05,6.83344E-08
1.1,6.9618E-08
1.15,7.03942E-08
1.2,7.09512E-08
1.25,7.19196E-08
1.3,7.28446E-08
1.35,7.38706E-08
1.4,7.51404E-08
1.45,7.53544E-08
1.5,7.63082E-08
1.55,7.72368E-08
1.6,7.7815E-08
1.65,7.90586E-08
1.7,7.98802E-08
1.75,8.09098E-08
