Vgs,Ids
-5,4.14854E-11
-4.95,4.1983E-11
-4.9,4.59688E-11
-4.85,5.0899E-11
-4.8,5.67312E-11
-4.75,5.5302E-11
-4.7,6.14578E-11
-4.65,6.49974E-11
-4.6,6.6742E-11
-4.55,7.98712E-11
-4.5,8.28158E-11
-4.45,8.32086E-11
-4.4,8.49908E-11
-4.35,9.18036E-11
-4.3,9.34588E-11
-4.25,1.069684E-10
-4.2,1.129728E-10
-4.15,1.4102E-10
-4.1,1.3123E-10
-4.05,1.5041E-10
-4,1.6428E-10
-3.95,2.0747E-10
-3.9,1.9131E-10
-3.85,2.4461E-10
-3.8,2.3877E-10
-3.75,2.6005E-10
-3.7,3.1409E-10
-3.65,3.344E-10
-3.6,4.0381E-10
-3.55,3.8336E-10
-3.5,4.6334E-10
-3.45,5.4265E-10
-3.4,6.1477E-10
-3.35,6.2634E-10
-3.3,6.3378E-10
-3.25,6.9778E-10
-3.2,8.2467E-10
-3.15,8.6588E-10
-3.1,9.2737E-10
-3.05,1.13006E-09
-3,1.04665E-09
-2.95,1.07573E-09
-2.9,1.1153E-09
-2.85,1.3336E-09
-2.8,1.4674E-09
-2.75,1.7685E-09
-2.7,1.9746E-09
-2.65,2.2967E-09
-2.6,2.6421E-09
-2.55,2.6841E-09
-2.5,2.9757E-09
-2.45,3.2287E-09
-2.4,3.8402E-09
-2.35,4.0638E-09
-2.3,4.774E-09
-2.25,5.0492E-09
-2.2,5.8343E-09
-2.15,6.7582E-09
-2.1,6.4665E-09
-2.05,7.2601E-09
-2,8.3347E-09
-1.95,9.3526E-09
-1.9,9.9675E-09
-1.85,1.05816E-08
-1.8,1.02324E-08
-1.75,1.11514E-08
-1.7,1.22256E-08
-1.65,1.33794E-08
-1.6,1.42594E-08
-1.55,1.47256E-08
-1.5,1.53878E-08
-1.45,1.6645E-08
-1.4,1.78418E-08
-1.35,1.83474E-08
-1.3,1.92336E-08
-1.25,1.99414E-08
-1.2,2.08472E-08
-1.15,2.1703E-08
-1.1,2.25284E-08
-1.05,2.40652E-08
-1,2.5405E-08
-0.95,2.6388E-08
-0.9,2.7607E-08
-0.85,2.8755E-08
-0.8,2.96436E-08
-0.75,3.07696E-08
-0.7,3.18348E-08
-0.65,3.31092E-08
-0.6,3.44378E-08
-0.55,3.50644E-08
-0.5,3.57536E-08
-0.45,3.66174E-08
-0.4,3.69764E-08
-0.35,3.8132E-08
-0.3,3.91262E-08
-0.25,3.99082E-08
-0.2,4.02504E-08
-0.15,4.1733E-08
-0.1,4.20678E-08
-0.05,4.31872E-08
0,4.39918E-08
0.05,4.53272E-08
0.1,4.62676E-08
0.15,4.75634E-08
0.2,4.86504E-08
0.25,4.98576E-08
0.3,5.09176E-08
0.35,5.22412E-08
0.4,5.33968E-08
0.45,5.4247E-08
0.5,5.5363E-08
0.55,5.61826E-08
0.6,5.71622E-08
0.65,5.82138E-08
0.7,5.9398E-08
0.75,6.07372E-08
0.8,6.1756E-08
0.85,6.27328E-08
0.9,6.35386E-08
0.95,6.46562E-08
1,6.56002E-08
1.05,6.66054E-08
1.1,6.75918E-08
1.15,6.86656E-08
1.2,6.90088E-08
1.25,7.00656E-08
1.3,7.06614E-08
1.35,7.1395E-08
1.4,7.27252E-08
1.45,7.35906E-08
1.5,7.44002E-08
1.55,7.57238E-08
1.6,7.63602E-08
1.65,7.75644E-08
1.7,7.83418E-08
1.75,7.95322E-08
1.8,7.9899E-08
1.85,8.09116E-08
1.9,8.11742E-08
1.95,8.2604E-08
2,8.3677E-08
2.05,8.47228E-08
2.1,8.5425E-08
2.15,8.59492E-08
2.2,8.69526E-08
2.25,8.77294E-08
2.3,8.80038E-08
2.35,8.90102E-08
2.4,8.95012E-08
2.45,9.0379E-08
2.5,9.16984E-08
2.55,9.25292E-08
2.6,9.3181E-08
2.65,9.31232E-08
2.7,9.38446E-08
2.75,9.47558E-08
2.8,9.59528E-08
2.85,9.61018E-08
2.9,9.70096E-08
2.95,9.76974E-08
3,9.83446E-08
3.05,9.88604E-08
3.1,1.001836E-07
3.15,1.010152E-07
3.2,1.013766E-07
3.25,1.015362E-07
3.3,1.020222E-07
3.35,1.025184E-07
3.4,1.033906E-07
3.45,1.04013E-07
3.5,1.048312E-07
3.55,1.052656E-07
3.6,1.06557E-07
3.65,1.068746E-07
3.7,1.076852E-07
3.75,1.086888E-07
3.8,1.09071E-07
3.85,1.094872E-07
3.9,1.104166E-07
3.95,1.107154E-07
4,1.112128E-07
4.05,1.115486E-07
4.1,1.123658E-07
4.15,1.130542E-07
4.2,1.131234E-07
4.25,1.142404E-07
4.3,1.147424E-07
4.35,1.149964E-07
4.4,1.1572E-07
4.45,1.1626E-07
4.5,1.163E-07
4.55,1.1782E-07
4.6,1.1822E-07
4.65,1.1802E-07
4.7,1.187E-07
4.75,1.1922E-07
4.8,1.1982E-07
4.85,1.2074E-07
4.9,1.2074E-07
4.95,1.221E-07
5,1.2246E-07
5,1.2212E-07
4.95,1.2174E-07
4.9,1.21E-07
4.85,1.209E-07
4.8,1.2038E-07
4.75,1.196E-07
4.7,1.186E-07
4.65,1.1872E-07
4.6,1.1848E-07
