Vgs,Ids
-5,2.2383E-10
-4.95,1.6677E-10
-4.9,1.6275E-10
-4.85,2.3196E-10
-4.8,2.0015E-10
-4.75,2.7187E-10
-4.7,2.7875E-10
-4.65,3.9159E-10
-4.6,3.9573E-10
-4.55,4.913E-10
-4.5,4.6455E-10
-4.45,4.6682E-10
-4.4,4.3525E-10
-4.35,5.521E-10
-4.3,5.5648E-10
-4.25,6.3844E-10
-4.2,7.0705E-10
-4.15,8.3759E-10
-4.1,7.1981E-10
-4.05,7.1133E-10
-4,8.4181E-10
-3.95,1.1881E-09
-3.9,1.2594E-09
-3.85,1.3094E-09
-3.8,1.4954E-09
-3.75,1.5887E-09
-3.7,1.6194E-09
-3.65,1.8081E-09
-3.6,1.9323E-09
-3.55,2.1736E-09
-3.5,2.243E-09
-3.45,2.7543E-09
-3.4,2.8788E-09
-3.35,3.1345E-09
-3.3,3.3631E-09
-3.25,3.5869E-09
-3.2,4.1053E-09
-3.15,5.0208E-09
-3.1,5.7124E-09
-3.05,6.3044E-09
-3,7.1508E-09
-2.95,8.0598E-09
-2.9,7.0523E-09
-2.85,8.2137E-09
-2.8,9.193E-09
-2.75,1.0089E-08
-2.7,1.04655E-08
-2.65,1.05602E-08
-2.6,1.21068E-08
-2.55,1.40632E-08
-2.5,1.54742E-08
-2.45,1.69152E-08
-2.4,1.77106E-08
-2.35,1.87766E-08
-2.3,1.92512E-08
-2.25,1.99872E-08
-2.2,2.05852E-08
-2.15,2.3066E-08
-2.1,2.50774E-08
-2.05,2.61612E-08
-2,2.6396E-08
-1.95,2.69208E-08
-1.9,2.88976E-08
-1.85,2.98436E-08
-1.8,3.14612E-08
-1.75,3.21702E-08
-1.7,3.31288E-08
-1.65,3.53206E-08
-1.6,3.53126E-08
-1.55,3.75038E-08
-1.5,3.8653E-08
-1.45,3.95166E-08
-1.4,4.12862E-08
-1.35,4.28264E-08
-1.3,4.3428E-08
-1.25,4.49298E-08
-1.2,4.62974E-08
-1.15,4.78906E-08
-1.1,4.9983E-08
-1.05,5.0955E-08
-1,5.22688E-08
-0.95,5.34452E-08
-0.9,5.52664E-08
-0.85,5.74036E-08
-0.8,5.95296E-08
-0.75,6.01906E-08
-0.7,6.14022E-08
-0.65,6.23138E-08
-0.6,6.42376E-08
-0.55,6.5575E-08
-0.5,6.71732E-08
-0.45,6.89242E-08
-0.4,7.02462E-08
-0.35,7.20708E-08
-0.3,7.38806E-08
-0.25,7.50138E-08
-0.2,7.66992E-08
-0.15,7.86748E-08
-0.1,8.0194E-08
-0.05,8.16636E-08
0,8.34706E-08
0.05,8.49156E-08
0.1,8.6987E-08
0.15,8.74772E-08
0.2,8.9735E-08
0.25,9.1243E-08
0.3,9.29826E-08
0.35,9.25468E-08
0.4,9.45398E-08
0.45,9.59736E-08
0.5,9.84304E-08
0.55,9.95896E-08
0.6,1.016904E-07
0.65,1.030394E-07
0.7,1.045162E-07
0.75,1.052012E-07
0.8,1.074092E-07
0.85,1.089432E-07
0.9,1.103124E-07
0.95,1.129094E-07
1,1.130876E-07
1.05,1.142336E-07
1.1,1.149962E-07
1.15,1.174E-07
1.2,1.188E-07
1.25,1.197E-07
1.3,1.2146E-07
1.35,1.2228E-07
1.4,1.2534E-07
1.45,1.2756E-07
1.5,1.2862E-07
1.55,1.2976E-07
1.6,1.3182E-07
1.65,1.3224E-07
1.7,1.3492E-07
1.75,1.359E-07
1.8,1.3726E-07
1.85,1.391E-07
1.9,1.399E-07
1.95,1.4072E-07
2,1.41E-07
2.05,1.4292E-07
2.1,1.432E-07
2.15,1.4664E-07
2.2,1.4596E-07
2.25,1.4762E-07
2.3,1.5004E-07
2.35,1.5006E-07
2.4,1.5102E-07
2.45,1.5334E-07
2.5,1.5454E-07
2.55,1.5658E-07
2.6,1.561E-07
2.65,1.5776E-07
2.7,1.5788E-07
2.75,1.5958E-07
2.8,1.6052E-07
2.85,1.6208E-07
2.9,1.6322E-07
2.95,1.6468E-07
3,1.663E-07
3.05,1.667E-07
3.1,1.6928E-07
3.15,1.6888E-07
3.2,1.7124E-07
3.25,1.7276E-07
3.3,1.7436E-07
3.35,1.7344E-07
3.4,1.7636E-07
3.45,1.7746E-07
3.5,1.7736E-07
3.55,1.7706E-07
3.6,1.7926E-07
3.65,1.7984E-07
3.7,1.8154E-07
3.75,1.8474E-07
3.8,1.849E-07
3.85,1.8516E-07
3.9,1.8578E-07
3.95,1.8684E-07
4,1.8758E-07
4.05,1.8992E-07
4.1,1.8948E-07
4.15,1.9098E-07
4.2,1.9034E-07
4.25,1.9128E-07
4.3,1.9132E-07
4.35,1.942E-07
4.4,1.9572E-07
4.45,1.969E-07
4.5,1.9828E-07
4.55,1.989E-07
4.6,2.0102E-07
4.65,1.9992E-07
4.7,2.0106E-07
4.75,2.0164E-07
4.8,2.0288E-07
4.85,2.0372E-07
4.9,2.0098E-07
4.95,2.0294E-07
5,2.0516E-07
5,2.0326E-07
4.95,2.028E-07
4.9,2.0058E-07
4.85,2.0046E-07
4.8,2.0022E-07
4.75,1.9712E-07
4.7,1.9634E-07
4.65,1.9604E-07
4.6,1.944E-07
4.55,1.9178E-07
4.5,1.925E-07
4.45,1.9036E-07
4.4,1.8792E-07
4.35,1.8722E-07
4.3,1.8638E-07
4.25,1.8586E-07
4.2,1.837E-07
4.15,1.8442E-07
4.1,1.8296E-07
4.05,1.8068E-07
4,1.8148E-07
3.95,1.8018E-07
3.9,1.7872E-07
3.85,1.77E-07
3.8,1.7636E-07
3.75,1.7474E-07
3.7,1.7236E-07
3.65,1.7184E-07
3.6,1.7426E-07
3.55,1.7152E-07
3.5,1.704E-07
3.45,1.6974E-07
3.4,1.682E-07
3.35,1.6528E-07
3.3,1.6608E-07
3.25,1.63E-07
3.2,1.6204E-07
3.15,1.6102E-07
3.1,1.5962E-07
3.05,1.5778E-07
3,1.5686E-07
2.95,1.5594E-07
2.9,1.546E-07
2.85,1.529E-07
2.8,1.5224E-07
2.75,1.4998E-07
2.7,1.4904E-07
2.65,1.4728E-07
2.6,1.4676E-07
2.55,1.4528E-07
2.5,1.4356E-07
2.45,1.4172E-07
2.4,1.4068E-07
2.35,1.406E-07
2.3,1.381E-07
2.25,1.3624E-07
2.2,1.3406E-07
2.15,1.3242E-07
2.1,1.3328E-07
2.05,1.3198E-07
2,1.295E-07
1.95,1.2798E-07
1.9,1.2672E-07
1.85,1.2602E-07
1.8,1.2456E-07
1.75,1.2194E-07
1.7,1.219E-07
1.65,1.21E-07
1.6,1.1964E-07
1.55,1.1666E-07
1.5,1.1496E-07
1.45,1.133E-07
1.4,1.1312E-07
1.35,1.1146E-07
1.3,1.1018E-07
1.25,1.0876E-07
1.2,1.0716E-07
1.15,1.0582E-07
1.1,1.033E-07
1.05,1.04E-07
1,1.0114E-07
0.95,1.014638E-07
0.9,9.97162E-08
