Vgs,Ids
-5,1.24E-10
-4.95,9.60E-11
-4.9,9.05E-11
-4.85,4.80E-11
-4.8,2.94E-11
-4.75,2.25E-11
-4.7,1.66E-11
-4.65,1.58E-11
-4.6,9.06E-12
-4.55,9.43E-12
-4.5,8.00E-12
-4.45,2.20E-12
-4.4,5.02E-12
-4.35,4.20E-12
-4.3,4.20E-12
-4.25,2.27E-12
-4.2,2.12E-12
-4.15,2.12E-12
-4.1,1.57E-12
-4.05,1.57E-12
-4,2.03E-12
-3.95,1.35E-11
-3.9,1.05E-11
-3.85,1.48E-11
-3.8,1.31E-11
-3.75,1.03E-11
-3.7,1.49E-11
-3.65,1.25E-11
-3.6,1.07E-11
-3.55,1.54E-11
-3.5,1.20E-11
-3.45,1.15E-11
-3.4,1.49E-11
-3.35,1.19E-11
-3.3,1.83E-11
-3.25,1.55E-11
-3.2,1.39E-11
-3.15,2.09E-11
-3.1,1.85E-11
-3.05,1.70E-11
-3,2.45E-11
-2.95,2.16E-11
-2.9,2.31E-11
-2.85,2.82E-11
-2.8,2.77E-11
-2.75,3.60E-11
-2.7,3.49E-11
-2.65,3.66E-11
-2.6,4.42E-11
-2.55,4.79E-11
-2.5,5.29E-11
-2.45,6.09E-11
-2.4,6.30E-11
-2.35,6.46E-11
-2.3,7.33E-11
-2.25,7.59E-11
-2.2,8.58E-11
-2.15,9.44E-11
-2.1,1.06E-10
-2.05,1.48E-10
-2,1.38E-10
-1.95,1.66E-10
-1.9,1.84E-10
-1.85,2.21E-10
-1.8,2.13E-10
-1.75,1.96E-10
-1.7,2.25E-10
-1.65,3.24E-10
-1.6,3.44E-10
-1.55,4.26E-10
-1.5,4.27E-10
-1.45,5.39E-10
-1.4,6.95E-10
-1.35,8.87E-10
-1.3,9.62E-10
-1.25,1.10E-09
-1.2,1.57E-09
-1.15,1.58E-09
-1.1,1.88E-09
-1.05,2.23E-09
-1,2.65E-09
-0.95,2.89E-09
-0.9,3.93E-09
-0.85,3.93E-09
-0.8,4.65E-09
-0.75,5.36E-09
-0.7,5.35E-09
-0.65,4.93E-09
-0.6,5.92E-09
-0.55,6.74E-09
-0.5,6.98E-09
-0.45,7.18E-09
-0.4,7.36E-09
-0.35,8.64E-09
-0.3,9.11E-09
-0.25,1.09E-08
-0.2,1.28E-08
-0.15,1.40E-08
-0.1,1.64E-08
-0.05,1.72E-08
0,1.88E-08
0.05,2.02E-08
0.1,2.27E-08
0.15,2.54E-08
0.2,2.77E-08
0.25,3.04E-08
0.3,3.29E-08
0.35,3.73E-08
0.4,3.78E-08
0.45,3.81E-08
0.5,4.43E-08
0.55,4.77E-08
0.6,5.26E-08
0.65,5.68E-08
0.7,5.89E-08
0.75,6.42E-08
0.8,6.80E-08
0.85,7.07E-08
0.9,7.54E-08
0.95,8.03E-08
1,8.26E-08
1.05,8.88E-08
1.1,9.35E-08
1.15,9.75E-08
1.2,1.04E-07
1.25,1.07E-07
1.3,1.11E-07
1.35,1.15E-07
1.4,1.18E-07
1.45,1.22E-07
1.5,1.26E-07
1.55,1.28E-07
1.6,1.33E-07
1.65,1.36E-07
1.7,1.41E-07
1.75,1.43E-07
1.8,1.46E-07
1.85,1.50E-07
1.9,1.53E-07
1.95,1.57E-07
2,1.59E-07
2.05,1.63E-07
2.1,1.64E-07
2.15,1.67E-07
2.2,1.72E-07
2.25,1.74E-07
2.3,1.77E-07
2.35,1.80E-07
2.4,1.84E-07
2.45,1.87E-07
2.5,1.89E-07
2.55,1.92E-07
2.6,1.94E-07
2.65,1.97E-07
2.7,2.00E-07
2.75,2.04E-07
2.8,2.06E-07
2.85,2.08E-07
2.9,2.11E-07
2.95,2.13E-07
3,2.16E-07
3.05,2.18E-07
3.1,2.20E-07
3.15,2.23E-07
3.2,2.27E-07
3.25,2.27E-07
3.3,2.31E-07
3.35,2.33E-07
3.4,2.35E-07
3.45,2.36E-07
3.5,2.37E-07
3.55,2.39E-07
3.6,2.43E-07
3.65,2.44E-07
3.7,2.46E-07
3.75,2.48E-07
3.8,2.51E-07
3.85,2.51E-07
3.9,2.54E-07
3.95,2.57E-07
4,2.58E-07
4.05,2.60E-07
4.1,2.62E-07
4.15,2.65E-07
4.2,2.67E-07
4.25,2.67E-07
4.3,2.68E-07
4.35,2.71E-07
