Vgs,Ids
-5,7.489E-11
-4.95,4.29454E-11
-4.9,3.41812E-11
-4.85,2.57278E-11
-4.8,2.31638E-11
-4.75,1.98388E-11
-4.7,1.499E-11
-4.65,1.65976E-11
-4.6,1.46522E-11
-4.55,1.14478E-11
-4.5,1.49622E-11
-4.45,1.16384E-11
-4.4,9.4206E-12
-4.35,1.31694E-11
-4.3,1.05228E-11
-4.25,8.2936E-12
-4.2,1.23924E-11
-4.15,9.2848E-12
-4.1,1.32386E-11
-4.05,1.02636E-11
-4,8.3846E-12
-3.95,1.31266E-11
-3.9,9.4398E-12
-3.85,7.5672E-12
-3.8,1.25264E-11
-3.75,1.04526E-11
-3.7,8.1634E-12
-3.65,1.20548E-11
-3.6,9.5364E-12
-3.55,1.31756E-11
-3.5,1.14324E-11
-3.45,9.3038E-12
-3.4,1.43756E-11
-3.35,1.23906E-11
-3.3,1.09036E-11
-3.25,1.59446E-11
-3.2,1.36454E-11
-3.15,1.32454E-11
-3.1,1.78648E-11
-3.05,1.63088E-11
-3,1.59184E-11
-2.95,2.0238E-11
-2.9,2.13572E-11
-2.85,2.63878E-11
-2.8,2.75312E-11
-2.75,2.43568E-11
-2.7,3.18198E-11
-2.65,3.2741E-11
-2.6,3.46194E-11
-2.55,4.19382E-11
-2.5,4.0414E-11
-2.45,4.46592E-11
-2.4,5.47068E-11
-2.35,6.32308E-11
-2.3,7.50198E-11
-2.25,6.71224E-11
-2.2,7.67554E-11
-2.15,9.46954E-11
-2.1,1.07422E-10
-2.05,1.117942E-10
-2,1.3898E-10
-1.95,1.3946E-10
-1.9,1.6572E-10
-1.85,1.6178E-10
-1.8,1.669E-10
-1.75,2.5284E-10
-1.7,3.0543E-10
-1.65,3.248E-10
-1.6,4.4378E-10
-1.55,5.3697E-10
-1.5,7.0046E-10
-1.45,8.0675E-10
-1.4,8.9019E-10
-1.35,1.07451E-09
-1.3,1.2243E-09
-1.25,1.217E-09
-1.2,1.3303E-09
-1.15,1.8696E-09
-1.1,2.2428E-09
-1.05,2.4136E-09
-1,3.2825E-09
-0.95,3.6441E-09
-0.9,3.7091E-09
-0.85,4.1402E-09
-0.8,4.6069E-09
-0.75,4.772E-09
-0.7,6.3446E-09
-0.65,7.8415E-09
-0.6,8.4546E-09
-0.55,9.038E-09
-0.5,9.3221E-09
-0.45,1.27114E-08
-0.4,1.3859E-08
-0.35,1.44694E-08
-0.3,1.57212E-08
-0.25,1.68766E-08
-0.2,1.87028E-08
-0.15,2.08684E-08
-0.1,2.21248E-08
-0.05,2.36214E-08
0,2.6576E-08
0.05,2.99196E-08
0.1,3.28382E-08
0.15,3.58546E-08
0.2,3.9729E-08
0.25,4.2602E-08
0.3,4.62226E-08
0.35,4.9046E-08
0.4,5.25172E-08
0.45,5.5921E-08
0.5,5.98846E-08
0.55,6.25348E-08
0.6,6.54918E-08
0.65,7.01096E-08
0.7,7.45506E-08
0.75,7.73974E-08
0.8,8.11862E-08
0.85,8.53754E-08
0.9,8.90538E-08
0.95,9.19014E-08
1,9.60186E-08
1.05,1.013158E-07
1.1,1.037922E-07
1.15,1.07172E-07
1.2,1.112012E-07
1.25,1.149956E-07
1.3,1.1896E-07
1.35,1.221E-07
1.4,1.2644E-07
1.45,1.2846E-07
1.5,1.3208E-07
1.55,1.343E-07
1.6,1.39E-07
1.65,1.4256E-07
1.7,1.455E-07
1.75,1.4794E-07
1.8,1.5276E-07
1.85,1.5548E-07
1.9,1.5854E-07
1.95,1.6158E-07
2,1.6508E-07
2.05,1.6894E-07
2.1,1.7202E-07
2.15,1.7568E-07
2.2,1.7904E-07
2.25,1.8168E-07
2.3,1.8362E-07
2.35,1.8562E-07
2.4,1.8752E-07
2.45,1.9164E-07
2.5,1.9476E-07
2.55,1.9746E-07
2.6,2.0136E-07
2.65,2.0446E-07
2.7,2.0778E-07
2.75,2.0926E-07
2.8,2.1116E-07
2.85,2.1496E-07
2.9,2.1606E-07
2.95,2.1818E-07
3,2.2102E-07
3.05,2.2244E-07
3.1,2.2424E-07
3.15,2.2772E-07
3.2,2.303E-07
3.25,2.3292E-07
3.3,2.346E-07
3.35,2.3592E-07
3.4,2.3838E-07
3.45,2.404E-07
3.5,2.4268E-07
3.55,2.45E-07
3.6,2.4658E-07
3.65,2.4956E-07
3.7,2.5028E-07
3.75,2.511E-07
3.8,2.5454E-07
3.85,2.5494E-07
3.9,2.5638E-07
3.95,2.586E-07
4,2.6162E-07
4.05,2.619E-07
4.1,2.645E-07
4.15,2.6642E-07
4.2,2.6724E-07
4.25,2.6822E-07
4.3,2.7006E-07
4.35,2.7202E-07
4.4,2.7342E-07
4.45,2.7516E-07
4.5,2.755E-07
4.55,2.7784E-07
4.6,2.7978E-07
4.65,2.7994E-07
4.7,2.8334E-07
4.75,2.848E-07
4.8,2.8644E-07
4.85,2.8746E-07
4.9,2.8896E-07
4.95,2.8918E-07
5,2.912E-07
5,2.9166E-07
4.95,2.91E-07
4.9,2.8978E-07
4.85,2.8886E-07
4.8,2.8718E-07
4.75,2.8458E-07
4.7,2.8466E-07
4.65,2.8424E-07
4.6,2.8374E-07
4.55,2.8276E-07
4.5,2.8178E-07
4.45,2.7912E-07
4.4,2.7608E-07
4.35,2.7638E-07
4.3,2.7642E-07
4.25,2.7494E-07
4.2,2.7258E-07
4.15,2.7152E-07
4.1,2.7066E-07
4.05,2.6978E-07
4,2.684E-07
3.95,2.6864E-07
3.9,2.671E-07
